utc_timestamp,precipitation,temperature,irradiance_surface,irradiance_toa,snowfall,snow_mass,cloud_cover,air_density
2012-01-01T00:00:00Z,0.1742,4.951,0,0,0.0114,3.1034,0.8962,1.2252
2012-01-01T01:00:00Z,0.1624,5.2,0,0,0.0158,3.0225,0.8915,1.2242
2012-01-01T02:00:00Z,0.1637,5.468,0,0,0.0133,2.9386,0.898,1.223
2012-01-01T03:00:00Z,0.1486,5.767,0,0,0.0077,2.8491,0.9047,1.2214
2012-01-01T04:00:00Z,0.1386,6.038,0,0,0.0024,2.7522,0.9215,1.2199
2012-01-01T05:00:00Z,0.141,6.277,0,0,0.0011,2.6584,0.9403,1.2186
2012-01-01T06:00:00Z,0.1811,6.523,0,1e-04,3e-04,2.5641,0.9549,1.2177
2012-01-01T07:00:00Z,0.2678,6.744,3.1053,28.6637,1e-04,2.4684,0.9675,1.217
2012-01-01T08:00:00Z,0.4223,7.205,23.9443,168.3756,0,2.364,0.9732,1.2159
2012-01-01T09:00:00Z,0.379,7.784,49.1874,291.3121,0,2.2479,0.9811,1.2138
2012-01-01T10:00:00Z,0.2245,8.353,71.3217,365.2239,0,2.1238,0.986,1.2113
2012-01-01T11:00:00Z,0.1509,8.914,85.0687,385.0505,0,1.9972,0.9865,1.2086
2012-01-01T12:00:00Z,0.1333,9.242,70.9694,349.4618,0,1.8785,0.9882,1.2064
2012-01-01T13:00:00Z,0.1023,9.312,53.4637,260.8664,0,1.7776,0.9848,1.2053
2012-01-01T14:00:00Z,0.0769,9.097,26.4947,125.5806,0,1.6973,0.9816,1.205
2012-01-01T15:00:00Z,0.0786,8.68,1.5998,9.3777,0,1.6351,0.9794,1.2052
2012-01-01T16:00:00Z,0.0877,8.552,0,0,0,1.5827,0.9746,1.2056
2012-01-01T17:00:00Z,0.0884,8.463,0,0,0,1.5368,0.9721,1.2057
2012-01-01T18:00:00Z,0.1158,8.397,0,0,0,1.496,0.9761,1.2057
2012-01-01T19:00:00Z,0.1615,8.348,0,0,0,1.4594,0.9764,1.2054
2012-01-01T20:00:00Z,0.2407,8.313,0,0,0,1.4257,0.9794,1.205
2012-01-01T21:00:00Z,0.3567,8.366,0,0,0,1.3929,0.9841,1.2041
2012-01-01T22:00:00Z,0.4256,8.446,0,0,0,1.3616,0.9884,1.2032
2012-01-01T23:00:00Z,0.4302,8.555,0,0,0,1.3317,0.9912,1.2022
2012-01-02T00:00:00Z,0.403,8.626,0,0,0,1.3024,0.9928,1.2015
2012-01-02T01:00:00Z,0.3869,8.502,0,0,0,1.2753,0.9935,1.2021
2012-01-02T02:00:00Z,0.3895,8.189,0,0,0,1.2512,0.994,1.2035
2012-01-02T03:00:00Z,0.3655,7.869,0,0,0,1.2296,0.9933,1.2048
2012-01-02T04:00:00Z,0.382,7.656,0,0,0,1.2101,0.993,1.2055
2012-01-02T05:00:00Z,0.4138,7.499,0,0,0,1.1917,0.9934,1.2061
2012-01-02T06:00:00Z,0.4309,7.317,0,1e-04,0,1.1746,0.9945,1.207
2012-01-02T07:00:00Z,0.391,7.168,3.2956,29.5427,0,1.1577,0.9951,1.2082
2012-01-02T08:00:00Z,0.3392,7.226,20.4967,170.1117,0,1.1374,0.9952,1.2094
2012-01-02T09:00:00Z,0.2941,7.324,41.2063,293.1328,0,1.1129,0.994,1.2104
2012-01-02T10:00:00Z,0.2825,7.391,58.9151,367.0893,0,1.0855,0.9937,1.211
2012-01-02T11:00:00Z,0.2922,7.353,66.1966,386.9363,1e-04,1.0556,0.9942,1.2114
2012-01-02T12:00:00Z,0.2871,7.176,56.5714,351.3337,3e-04,1.0259,0.9949,1.2122
2012-01-02T13:00:00Z,0.2651,6.855,36.833,262.6984,0.001,1.0013,0.9945,1.2139
2012-01-02T14:00:00Z,0.2351,6.389,15.1807,127.3023,0.0022,0.9844,0.9883,1.2165
2012-01-02T15:00:00Z,0.1783,5.853,0.9343,9.8227,0.0033,0.9741,0.9574,1.2197
2012-01-02T16:00:00Z,0.1223,5.412,0,0,0.0034,0.9666,0.8787,1.2229
2012-01-02T17:00:00Z,0.0821,4.991,0,0,0.0032,0.9598,0.7943,1.2261
2012-01-02T18:00:00Z,0.0726,4.609,0,0,0.0066,0.9561,0.7374,1.2292
2012-01-02T19:00:00Z,0.0465,4.234,0,0,0.0063,0.9555,0.7219,1.2321
2012-01-02T20:00:00Z,0.0286,3.869,0,0,0.0054,0.9559,0.7083,1.2348
2012-01-02T21:00:00Z,0.0174,3.547,0,0,0.0049,0.9567,0.6842,1.2374
2012-01-02T22:00:00Z,0.0127,3.249,0,0,0.0039,0.9574,0.7161,1.2399
2012-01-02T23:00:00Z,0.0107,3.009,0,0,0.0029,0.9567,0.7028,1.2421
2012-01-03T00:00:00Z,0.0105,2.761,0,0,0.0022,0.9552,0.714,1.2441
2012-01-03T01:00:00Z,0.0123,2.569,0,0,0.0022,0.9536,0.7375,1.246
2012-01-03T02:00:00Z,0.016,2.387,0,0,0.0035,0.9531,0.7975,1.2474
2012-01-03T03:00:00Z,0.0151,2.307,0,0,0.0034,0.9531,0.8459,1.2482
2012-01-03T04:00:00Z,0.0112,2.276,0,0,0.0024,0.9528,0.84,1.2483
2012-01-03T05:00:00Z,0.009,2.205,0,0,0.0019,0.9524,0.8445,1.2482
2012-01-03T06:00:00Z,0.009,2.162,0,2e-04,0.0016,0.952,0.8776,1.2478
2012-01-03T07:00:00Z,0.0214,2.175,7.4145,30.5253,0.0011,0.9516,0.8995,1.247
2012-01-03T08:00:00Z,0.0885,2.702,53.6704,172.0179,4e-04,0.949,0.8357,1.2448
2012-01-03T09:00:00Z,0.1859,3.488,109.9852,295.1221,1e-04,0.9396,0.7573,1.2407
2012-01-03T10:00:00Z,0.2548,4.354,147.7162,369.1305,0,0.9223,0.7566,1.2352
2012-01-03T11:00:00Z,0.2855,5.12,142.5502,389.0131,0,0.9002,0.7908,1.2294
